name,clinton,hillary,obama,president,trump,father,hillary + president,hillary / trump,hillary+obama / trump
chris christie,22,23,4,6,5,1,27,4.6,5.4
donald trump jr,5,4,2,21,4,10,7,1.25,1.75
donald trump,12,12,8,13,4,2,20,3.0,5.0
eric trump,1,1,1,7,3,24,2,0.3333333333333333,0.6666666666666666
ivanka trump,1,1,1,5,15,29,2,0.06666666666666667,0.13333333333333333
mike pence,13,12,8,19,21,4,21,0.6190476190476191,1.0
newt gingrich,7,10,2,5,20,1,12,0.5,0.6
peter thiel,3,3,1,1,6,1,4,0.5,0.6666666666666666
reince preibus,12,7,3,4,7,1,15,1.7142857142857142,2.142857142857143
scott walker,9,9,1,4,4,1,10,2.25,2.5
ted cruz,4,3,5,3,3,3,9,1.3333333333333333,3.0
